text,quadruples
Very affordable rates for the very spacious room and comfortable rooms .,"[{'aspect': 'rates', 'polarity': 'POS', 'opinion': 'affordable', 'category': 'HOTEL#PRICE'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'spacious', 'category': 'ROOM#SPACE'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
Clean and comfortable room with a full breakfast by the paddyfield .,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'breakfast', 'polarity': 'POS', 'opinion': 'full', 'category': 'FOOD#GENERAL'}]"
"It was simply perfect : the staff is very nice and welcoming , the rooms are very comfortable and clean and the swimming is just amazing .","[{'aspect': 'staff', 'polarity': 'POS', 'opinion': 'nice', 'category': 'SERVICE#GENERAL'}, {'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'swimming', 'polarity': 'POS', 'opinion': 'clean', 'category': 'ROOM#CLEANLINESS'}]"
We really enjoyed our stay since its located very central and the room was very comfortable .,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
The room is comfortable and spacious .,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Amazing service , very clean and comfortable rooms , wonderful rooftop pool with good food .","[{'aspect': 'service', 'polarity': 'POS', 'opinion': 'Amazing', 'category': 'SERVICE#GENERAL'}, {'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'rooftop pool', 'polarity': 'POS', 'opinion': 'clean', 'category': 'ROOM#CLEANLINESS'}, {'aspect': 'food', 'polarity': 'POS', 'opinion': 'wonderful', 'category': 'FACILITY#POOL'}]"
We got the comfortable room .,"[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Out room and the road side and close to the réception was a but noisy , but staff was really nice and the breakfast was ok .","[{'aspect': 'room', 'polarity': 'NEG', 'opinion': 'noisy', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'staff', 'polarity': 'POS', 'opinion': 'nice', 'category': 'SERVICE#GENERAL'}, {'aspect': 'breakfast', 'polarity': 'NEU', 'opinion': 'ok', 'category': 'FOOD#TASTE'}]"
"The arrangement for pick up and drop off airport was very good and in time , the staff are very friendly and helpful , quick check in , very cozy room .","[{'aspect': 'staff', 'polarity': 'POS', 'opinion': 'friendly', 'category': 'SERVICE#GENERAL'}, {'aspect': 'check in', 'polarity': 'POS', 'opinion': 'quick', 'category': 'SERVICE#GENERAL'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'cozy', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Exceptionally friendly service by all staff , great pool area and relaxing comfortable rooms .","[{'aspect': 'service', 'polarity': 'POS', 'opinion': 'friendly', 'category': 'SERVICE#GENERAL'}, {'aspect': 'pool area', 'polarity': 'POS', 'opinion': 'great', 'category': 'FACILITY#POOL'}, {'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'relaxing comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
"vacation in Bali with family , stay at fame sunset road Bali , take connecting rooms , rooms are comfortable and clean , breakfast has many choices , pool is side the restaurant , very strategic location on the main road .","[{'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'breakfast', 'polarity': 'POS', 'opinion': 'clean', 'category': 'ROOM#CLEANLINESS'}, {'aspect': 'location', 'polarity': 'POS', 'opinion': 'many choices', 'category': 'FOOD#CHOICE'}]"
Room was comfortable and spacious .,"[{'aspect': 'Room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Good access , cozy room , breakfast with many variants but need to improve the taste , good services , nice crew , corridor quite dark , instagramable .","[{'aspect': 'access', 'polarity': 'POS', 'opinion': 'Good', 'category': 'LOCATION#GENERAL'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'cozy', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'breakfast', 'polarity': 'POS', 'opinion': 'many variants', 'category': 'FOOD#CHOICE'}, {'aspect': 'services', 'polarity': 'POS', 'opinion': 'good', 'category': 'SERVICE#GENERAL'}, {'aspect': 'crew', 'polarity': 'POS', 'opinion': 'nice', 'category': 'SERVICE#GENERAL'}]"
"This hotel is good value for money considering the clean and comfortable room , the big swimming pool and breakfast was included .","[{'aspect': 'hotel', 'polarity': 'POS', 'opinion': 'good value for money', 'category': 'HOTEL#PRICE'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'swimming pool', 'polarity': 'POS', 'opinion': 'big', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'breakfast', 'polarity': 'POS', 'opinion': 'included', 'category': 'FACILITY#POOL'}]"
"thanks fame hotel for its service , rooms and amenities are comfortable , dinner and breakfast packages are satisfactory .","[{'aspect': 'service', 'polarity': 'POS', 'opinion': 'thanks', 'category': 'SERVICE#GENERAL'}, {'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'amenities', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'ROOM#AMENITIES'}, {'aspect': 'dinner', 'polarity': 'POS', 'opinion': 'satisfactory', 'category': 'FOOD#GENERAL'}, {'aspect': 'breakfast packages', 'polarity': 'POS', 'opinion': 'satisfactory', 'category': 'FOOD#GENERAL'}]"
"I booked for 3 nights , but i just stayed for 1 night , when i get in the room , room is dark , i take the room on 1st floor , so i have a pool access , bed and pillow are smelly , and have someone knock the door , but no one there ! .","[{'aspect': 'room', 'polarity': 'NEG', 'opinion': 'dark', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'bed', 'polarity': 'NEG', 'opinion': 'smelly', 'category': 'ROOM#BED'}, {'aspect': 'pillow', 'polarity': 'NEG', 'opinion': 'smelly', 'category': 'ROOM#BED'}]"
They decorate the room a little simpler .,"[{'aspect': 'decorate the room', 'polarity': 'NEG', 'opinion': 'simpler', 'category': 'EXPERIENCE,AMBIENCE'}]"
"The room is very cosy with sunny balcony , lovely swimming pool and gym .","[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'cosy', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'swimming pool', 'polarity': 'POS', 'opinion': 'lovely', 'category': 'FACILITY#POOL'}, {'aspect': 'gym', 'polarity': 'POS', 'opinion': 'lovely', 'category': 'FACILITY#GENERAL'}]"
There is comfortable rooms .,"[{'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
The room setting a little bit old fashion .,"[{'aspect': 'room setting', 'polarity': 'NEG', 'opinion': 'old fashion', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Very very noisy room , without windows , all the rooms are located in the basement ! No noise isolation .","[{'aspect': 'room', 'polarity': 'NEG', 'opinion': 'noisy', 'category': 'EXPERIENCE,AMBIENCE'}]"
The hotel room is look stylish with good bed to sleep .,"[{'aspect': 'hotel room', 'polarity': 'POS', 'opinion': 'stylish', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'bed', 'polarity': 'POS', 'opinion': 'good', 'category': 'ROOM#BED'}]"
The rooms were very comfortable and staff were great .,"[{'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'staff', 'polarity': 'POS', 'opinion': 'great', 'category': 'SERVICE#GENERAL'}]"
You can relax on the pool or you can eat at the cozy NebulaRooms .,"[{'aspect': 'pool', 'polarity': 'POS', 'opinion': 'relax', 'category': 'FACILITY#POOL'}, {'aspect': 'NebulaRooms', 'polarity': 'POS', 'opinion': 'cozy', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Friendly staff , good breakfast , comfortable room .","[{'aspect': 'staff', 'polarity': 'POS', 'opinion': 'Friendly', 'category': 'SERVICE#GENERAL'}, {'aspect': 'breakfast', 'polarity': 'POS', 'opinion': 'good', 'category': 'FOOD#GENERAL'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
There were passing showers when we were here and it was so nice to snuggle into the comfy duvets and enjoy the view from the cozy rooms .,"[{'aspect': 'view', 'polarity': 'POS', 'opinion': 'enjoy', 'category': 'LOCATION#VIEW'}, {'aspect': 'rooms', 'polarity': 'POS', 'opinion': 'cozy', 'category': 'EXPERIENCE,AMBIENCE'}]"
"The room is cozy , all staff are very helpful and courteous .","[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'cozy', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'staff', 'polarity': 'POS', 'opinion': 'helpful', 'category': 'SERVICE#GENERAL'}]"
"I spent here for 6 days , room is very comfortable .","[{'aspect': 'room', 'polarity': 'POS', 'opinion': 'comfortable', 'category': 'EXPERIENCE,AMBIENCE'}]"
"Nice place , quiet room .","[{'aspect': 'place', 'polarity': 'POS', 'opinion': 'Nice', 'category': 'HOTEL#GENERAL'}, {'aspect': 'room', 'polarity': 'POS', 'opinion': 'quiet', 'category': 'EXPERIENCE,AMBIENCE'}]"
"We stay for 1 night for short getaway , our room infront off kitchen , its noisy , staff chit chat very loud during bfast time .","[{'aspect': 'room', 'polarity': 'NEG', 'opinion': 'noisy', 'category': 'EXPERIENCE,AMBIENCE'}, {'aspect': 'staff', 'polarity': 'NEG', 'opinion': 'loud', 'category': 'SERVICE#GENERAL'}]"
